Category: All categories

Day,car battery: (United Kingdom)
2025-11-01,38
2025-11-02,40
2025-11-03,40
2025-11-04,35
2025-11-05,31
2025-11-06,32
2025-11-07,32
2025-11-08,38
2025-11-09,36
2025-11-10,34
2025-11-11,35
2025-11-12,35
2025-11-13,36
2025-11-14,36
2025-11-15,39
2025-11-16,39
2025-11-17,54
2025-11-18,52
2025-11-19,57
2025-11-20,66
2025-11-21,62
2025-11-22,55
2025-11-23,48
2025-11-24,50
2025-11-25,48
2025-11-26,46
2025-11-27,46
2025-11-28,39
2025-11-29,40
2025-11-30,47
2025-12-01,42
2025-12-02,39
2025-12-03,45
2025-12-04,41
2025-12-05,42
2025-12-06,43
2025-12-07,40
2025-12-08,45
2025-12-09,36
2025-12-10,39
2025-12-11,40
2025-12-12,38
2025-12-13,45
2025-12-14,41
2025-12-15,36
2025-12-16,36
2025-12-17,41
2025-12-18,35
2025-12-19,38
2025-12-20,38
2025-12-21,46
2025-12-22,40
2025-12-23,38
2025-12-24,34
2025-12-25,31
2025-12-26,47
2025-12-27,56
2025-12-28,55
2025-12-29,58
2025-12-30,54
2025-12-31,55
2026-01-01,44
2026-01-02,75
2026-01-03,74
2026-01-04,86
2026-01-05,100
2026-01-06,83
2026-01-07,59
2026-01-08,49
2026-01-09,50
2026-01-10,58
2026-01-11,49
2026-01-12,47
2026-01-13,43
2026-01-14,43
