Category: All categories

Week,engine oil: (United Kingdom)
2024-09-01,68
2024-09-08,69
2024-09-15,70
2024-09-22,61
2024-09-29,67
2024-10-06,65
2024-10-13,66
2024-10-20,62
2024-10-27,67
2024-11-03,67
2024-11-10,67
2024-11-17,58
2024-11-24,58
2024-12-01,60
2024-12-08,60
2024-12-15,64
2024-12-22,63
2024-12-29,59
2025-01-05,59
2025-01-12,67
2025-01-19,68
2025-01-26,68
2025-02-02,66
2025-02-09,68
2025-02-16,70
2025-02-23,71
2025-03-02,80
2025-03-09,76
2025-03-16,77
2025-03-23,80
2025-03-30,84
2025-04-06,81
2025-04-13,80
2025-04-20,81
2025-04-27,80
2025-05-04,80
2025-05-11,79
2025-05-18,80
2025-05-25,75
2025-06-01,78
2025-06-08,78
2025-06-15,77
2025-06-22,77
2025-06-29,80
2025-07-06,77
2025-07-13,76
2025-07-20,79
2025-07-27,82
2025-08-03,84
2025-08-10,84
2025-08-17,83
2025-08-24,78
2025-08-31,76
2025-09-07,74
2025-09-14,71
2025-09-21,78
2025-09-28,75
2025-10-05,77
2025-10-12,78
2025-10-19,72
2025-10-26,73
2025-11-02,73
2025-11-09,72
2025-11-16,78
2025-11-23,79
2025-11-30,75
2025-12-07,80
2025-12-14,80
2025-12-21,73
2025-12-28,80
2026-01-04,74
2026-01-11,76
2026-01-18,79
2026-01-25,80
2026-02-01,84
2026-02-08,87
2026-02-15,95
2026-02-22,94
2026-03-01,89
2026-03-08,90
2026-03-15,100
2026-03-22,100
2026-03-29,92
2026-04-05,96
2026-04-12,90
2026-04-19,91
2026-04-26,92
